SourceYear,SchoolYear,Region,School_Short_Name,addresses,City,State,Zip ,County,Latitude,Longitude,JoinType,DriveTime_min,PercentToFullScale,PercentEntryLevelNeeded_AC,PercentEntryLevelNeeded_CP,PercentPoverty1x,PercentPoverty2x,PercentWin10min,PercentWin15min,Avg DriveTime,Median Drivetime,SD of Drivetime,SurroundingShoolsQuality
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,intersect,15,0.029,0.016,0.008,0.069,0.033,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,intersect,10,0.071,0.034,0.02,0.157,0.072,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,inside,15,0.053,0.041,0.021,0.143,0.07,0.41,0.81,13.62,11.87,7.31,
,,Austin,Health Professions,5816 WILCAB RD,AUSTIN,Texas,78721,Travis County,30.2740623,-97.6750269,inside,10,0.482,0.596,0.256,2.286,1.058,0.41,0.81,13.62,11.87,7.31,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,intersect,15,0.036,0.021,0.011,0.133,0.057,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,intersect,10,0.088,0.044,0.023,0.284,0.112,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,inside,15,0.069,0.052,0.025,0.293,0.121,0.58,0.77,11.12,9,8.23,
,,Austin,Bluff Springs,1700 E SLAUGHTER LN,AUSTIN,Texas,78747,Travis County,30.1539052,-97.77023,inside,10,0.216,0.133,0.078,1.693,0.431,0.58,0.77,11.12,9,8.23,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,intersect,15,0.039,0.024,0.012,0.127,0.054,0,0,0,0,0,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,intersect,10,0.091,0.062,0.03,0.364,0.141,0,0,0,0,0,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,inside,15,0.082,0.062,0.031,0.355,0.142,0,0,0,0,0,
,,Austin,Del Valle ,7325 MCKINNEY FALLS PARKWAY,AUSTIN,Texas,78744,Travis County,30.1613983,-97.7276988,inside,10,0.284,0.308,0.118,1.431,0.586,0,0,0,0,0,
,,Austin,Kyle,640 PHILOMENA DR,KYLE,Texas,78640,Hays County,29.9972024,-97.8685806,intersect,15,0.054,0.043,0.016,0.256,0.091,0.63,0.83,12.15,10.5,8.1,
,,Austin,Kyle,640 PHILOMENA DR,KYLE,Texas,78640,Hays County,29.9972024,-97.8685806,intersect,10,0.08,0.06,0.026,0.404,0.135,0.63,0.83,12.15,10.5,8.1,
,,Austin,Kyle,640 PHILOMENA DR,KYLE,Texas,78640,Hays County,29.9972024,-97.8685806,inside,15,0.099,0.124,0.048,0.803,0.278,0.63,0.83,12.15,10.5,8.1,
,,Austin,Kyle,640 PHILOMENA DR,KYLE,Texas,78640,Hays County,29.9972024,-97.8685806,inside,10,0.255,0.439,0.193,3.88,0.886,0.63,0.83,12.15,10.5,8.1,
,,Austin,Montopolis,1701 VARGAS RD,AUSTIN,Texas,78741,Travis County,30.2261345,-97.7011771,intersect,15,0.027,0.015,0.007,0.073,0.033,0.43,0.75,12.34,11.58,8.63,
,,Austin,Montopolis,1701 VARGAS RD,AUSTIN,Texas,78741,Travis County,30.2261345,-97.7011771,intersect,10,0.079,0.042,0.021,0.161,0.082,0.43,0.75,12.34,11.58,8.63,
,,Austin,Montopolis,1701 VARGAS RD,AUSTIN,Texas,78741,Travis County,30.2261345,-97.7011771,inside,15,0.068,0.053,0.027,0.183,0.101,0.43,0.75,12.34,11.58,8.63,
,,Austin,Montopolis,1701 VARGAS RD,AUSTIN,Texas,78741,Travis County,30.2261345,-97.7011771,inside,10,0.249,0.242,0.133,0.714,0.357,0.43,0.75,12.34,11.58,8.63,
,,Austin,Parmer Park,1438 E YAGER LN,AUSTIN,Texas,78753,Travis County,30.3892426,-97.6554771,intersect,15,0.025,0.015,0.007,0.086,0.038,0.53,0.84,11.95,10.55,7.4,
,,Austin,Parmer Park,1438 E YAGER LN,AUSTIN,Texas,78753,Travis County,30.3892426,-97.6554771,intersect,10,0.06,0.036,0.018,0.22,0.091,0.53,0.84,11.95,10.55,7.4,
,,Austin,Parmer Park,1438 E YAGER LN,AUSTIN,Texas,78753,Travis County,30.3892426,-97.6554771,inside,15,0.042,0.032,0.016,0.145,0.066,0.53,0.84,11.95,10.55,7.4,
,,Austin,Parmer Park,1438 E YAGER LN,AUSTIN,Texas,78753,Travis County,30.3892426,-97.6554771,inside,10,0.149,0.167,0.063,1.299,0.323,0.53,0.84,11.95,10.55,7.4,
,,Austin,Pflugerville,1901 E WELLS BRANCH PKWY,PFLUGERVILLE,Texas,78660,Travis County,30.4245297,-97.6294066,intersect,15,0.024,0.015,0.006,0.122,0.049,0.62,0.82,11.48,9.14,7.25,
,,Austin,Pflugerville,1901 E WELLS BRANCH PKWY,PFLUGERVILLE,Texas,78660,Travis County,30.4245297,-97.6294066,intersect,10,0.06,0.037,0.017,0.31,0.119,0.62,0.82,11.48,9.14,7.25,
,,Austin,Pflugerville,1901 E WELLS BRANCH PKWY,PFLUGERVILLE,Texas,78660,Travis County,30.4245297,-97.6294066,inside,15,0.046,0.041,0.016,0.299,0.116,0.62,0.82,11.48,9.14,7.25,
,,Austin,Pflugerville,1901 E WELLS BRANCH PKWY,PFLUGERVILLE,Texas,78660,Travis County,30.4245297,-97.6294066,inside,10,0.109,0.098,0.037,0.591,0.264,0.62,0.82,11.48,9.14,7.25,
,,Austin,Round Rock Tech ,3301 GREENLAWN BLVD,ROUND ROCK,Texas,78664,Williamson County,30.4790193,-97.6630665,intersect,15,0.014,0.009,0.004,0.088,0.037,0.51,0.8,13.24,11.93,7.12,
,,Austin,Round Rock Tech ,3301 GREENLAWN BLVD,ROUND ROCK,Texas,78664,Williamson County,30.4790193,-97.6630665,intersect,10,0.036,0.02,0.008,0.253,0.1,0.51,0.8,13.24,11.93,7.12,
,,Austin,Round Rock Tech ,3301 GREENLAWN BLVD,ROUND ROCK,Texas,78664,Williamson County,30.4790193,-97.6630665,inside,15,0.027,0.024,0.009,0.268,0.103,0.51,0.8,13.24,11.93,7.12,
,,Austin,Round Rock Tech ,3301 GREENLAWN BLVD,ROUND ROCK,Texas,78664,Williamson County,30.4790193,-97.6630665,inside,10,0.13,0.127,0.06,1.025,0.421,0.51,0.8,13.24,11.93,7.12,
,,Austin,Rundberg,9504 N IH 35,AUSTIN,Texas,78753,Travis County,30.3609633,-97.6899991,intersect,15,0.02,0.012,0.006,0.073,0.032,0.63,0.81,10.74,9.12,7.28,
,,Austin,Rundberg,9504 N IH 35,AUSTIN,Texas,78753,Travis County,30.3609633,-97.6899991,intersect,10,0.041,0.023,0.012,0.112,0.053,0.63,0.81,10.74,9.12,7.28,
,,Austin,Rundberg,9504 N IH 35,AUSTIN,Texas,78753,Travis County,30.3609633,-97.6899991,inside,15,0.031,0.024,0.012,0.117,0.054,0.63,0.81,10.74,9.12,7.28,
,,Austin,Rundberg,9504 N IH 35,AUSTIN,Texas,78753,Travis County,30.3609633,-97.6899991,inside,10,0.085,0.071,0.032,0.22,0.102,0.63,0.81,10.74,9.12,7.28,
,,Cincinnati,Homer,4324 Homer Ave,Cincinnati,Ohio,45227,Hamilton County,39.152272,-84.3874,intersect,15,0.045,0.045,0.012,0.219,0.108,,,,,,
,,Cincinnati,Homer,4324 Homer Ave,Cincinnati,Ohio,45227,Hamilton County,39.152272,-84.3874,intersect,10,0.126,0.115,0.029,0.66,0.336,,,,,,
,,Cincinnati,Homer,4324 Homer Ave,Cincinnati,Ohio,45227,Hamilton County,39.152272,-84.3874,inside,15,0.094,0.139,0.033,0.898,0.416,,,,,,
,,Cincinnati,Homer,4324 Homer Ave,Cincinnati,Ohio,45227,Hamilton County,39.152272,-84.3874,inside,10,0.363,0.611,0.147,3.181,1.79,,,,,,
,,Cincinnati,Pippin,9454 Pippin Rd,Cincinnati,Ohio,45231,Hamilton County,39.240745,-84.575689,intersect,15,0.036,0.039,0.01,0.089,0.047,,,,,,
,,Cincinnati,Pippin,9454 Pippin Rd,Cincinnati,Ohio,45231,Hamilton County,39.240745,-84.575689,intersect,10,0.067,0.086,0.019,0.207,0.101,,,,,,
,,Cincinnati,Pippin,9454 Pippin Rd,Cincinnati,Ohio,45231,Hamilton County,39.240745,-84.575689,inside,15,0.062,0.107,0.024,0.254,0.124,,,,,,
,,Cincinnati,Pippin,9454 Pippin Rd,Cincinnati,Ohio,45231,Hamilton County,39.240745,-84.575689,inside,10,0.125,0.284,0.047,0.604,0.27,,,,,,
,,Cincinnati,Price Hill,2700 Glenway Ave,Cincinnati,Ohio,45204,Hamilton County,39.11227,-84.5549,intersect,15,0.056,0.074,0.032,0.114,0.063,0.395,0.9,8.08,7.53,4.73,
,,Cincinnati,Price Hill,2700 Glenway Ave,Cincinnati,Ohio,45204,Hamilton County,39.11227,-84.5549,intersect,10,0.142,0.181,0.082,0.203,0.124,0.395,0.9,8.08,7.53,4.73,
,,Cincinnati,Price Hill,2700 Glenway Ave,Cincinnati,Ohio,45204,Hamilton County,39.11227,-84.5549,inside,15,0.094,0.149,0.072,0.182,0.11,0.395,0.9,8.08,7.53,4.73,
,,Cincinnati,Price Hill,2700 Glenway Ave,Cincinnati,Ohio,45204,Hamilton County,39.11227,-84.5549,inside,10,0.298,0.723,0.22,0.43,0.308,0.395,0.9,8.08,7.53,4.73,
,,Cincinnati,Valley View,1011 GLENDALE MILFORD RD,Cincinnati,Ohio,45215,Hamilton County,39.25589,-84.457207,intersect,15,0.029,0.017,0.007,0.088,0.047,0.39,0.66,11.62,11.29,5.41,
,,Cincinnati,Valley View,1011 GLENDALE MILFORD RD,Cincinnati,Ohio,45215,Hamilton County,39.25589,-84.457207,intersect,10,0.098,0.049,0.021,0.212,0.121,0.39,0.66,11.62,11.29,5.41,
,,Cincinnati,Valley View,1011 GLENDALE MILFORD RD,Cincinnati,Ohio,45215,Hamilton County,39.25589,-84.457207,inside,15,0.081,0.084,0.037,0.379,0.23,0.39,0.66,11.62,11.29,5.41,
,,Cincinnati,Valley View,1011 GLENDALE MILFORD RD,Cincinnati,Ohio,45215,Hamilton County,39.25589,-84.457207,inside,10,0.434,0.456,0.172,0.943,0.798,0.39,0.66,11.62,11.29,5.41,
,,El Paso,Edgemere,15101 EDGEMERE BLVD,EL PASO,Texas,79938,El Paso County,30.4563589,-97.6541979,intersect,15,0.043,0.032,0.01,0.158,0.057,0.45,0.81,11.54,9.97,7.54,
,,El Paso,Edgemere,15101 EDGEMERE BLVD,EL PASO,Texas,79938,El Paso County,30.4563589,-97.6541979,intersect,10,0.069,0.057,0.018,0.291,0.093,0.45,0.81,11.54,9.97,7.54,
,,El Paso,Edgemere,15101 EDGEMERE BLVD,EL PASO,Texas,79938,El Paso County,30.4563589,-97.6541979,inside,15,0.075,0.084,0.023,0.54,0.154,0.45,0.81,11.54,9.97,7.54,
,,El Paso,Edgemere,15101 EDGEMERE BLVD,EL PASO,Texas,79938,El Paso County,30.4563589,-97.6541979,inside,10,0.178,0.626,0.096,1.661,0.766,0.45,0.81,11.54,9.97,7.54,
,,El Paso,Horizon Vista ,201 HORIZON CROSSING ST,HORIZON CITY,Texas,79928,El Paso County,31.6790732,-106.2096834,intersect,15,0.052,0.042,0.013,0.158,0.057,0.36,0.49,10.91,9.26,7.45,
,,El Paso,Horizon Vista ,201 HORIZON CROSSING ST,HORIZON CITY,Texas,79928,El Paso County,31.6790732,-106.2096834,intersect,10,0.091,0.079,0.022,0.291,0.093,0.36,0.49,10.91,9.26,7.45,
,,El Paso,Horizon Vista ,201 HORIZON CROSSING ST,HORIZON CITY,Texas,79928,El Paso County,31.6790732,-106.2096834,inside,15,0.124,0.167,0.049,0.54,0.154,0.36,0.49,10.91,9.26,7.45,
,,El Paso,Horizon Vista ,201 HORIZON CROSSING ST,HORIZON CITY,Texas,79928,El Paso County,31.6790732,-106.2096834,inside,10,0.346,0.594,0.199,1.661,0.766,0.36,0.49,10.91,9.26,7.45,
,,El Paso,Johannsen,5980 Johannsen Rd,EL PASO,Texas,79932,El Paso County,31.871858,-106.588446,intersect,15,0.057,0.051,0.017,0.237,0.108,,,,,,
,,El Paso,Johannsen,5980 Johannsen Rd,EL PASO,Texas,79932,El Paso County,31.871858,-106.588446,intersect,10,0.078,0.063,0.021,0.292,0.125,,,,,,
,,El Paso,Johannsen,5980 Johannsen Rd,EL PASO,Texas,79932,El Paso County,31.871858,-106.588446,inside,15,0.086,0.095,0.036,0.445,0.199,,,,,,
,,El Paso,Johannsen,5980 Johannsen Rd,EL PASO,Texas,79932,El Paso County,31.871858,-106.588446,inside,10,0.158,0.247,0.069,1.776,0.739,,,,,,
,,El Paso,Mesa Hills,405 WALLENBERG,EL PASO,Texas,79912,El Paso County,31.817009,-106.5264911,intersect,15,0.06,0.052,0.016,0.185,0.093,0.45,0.64,10.26,8.52,6.69,
,,El Paso,Mesa Hills,405 WALLENBERG,EL PASO,Texas,79912,El Paso County,31.817009,-106.5264911,intersect,10,0.127,0.108,0.036,0.444,0.184,0.45,0.64,10.26,8.52,6.69,
,,El Paso,Mesa Hills,405 WALLENBERG,EL PASO,Texas,79912,El Paso County,31.817009,-106.5264911,inside,15,0.109,0.112,0.043,0.493,0.205,0.45,0.64,10.26,8.52,6.69,
,,El Paso,Mesa Hills,405 WALLENBERG,EL PASO,Texas,79912,El Paso County,31.817009,-106.5264911,inside,10,0.316,0.352,0.185,1.175,0.43,0.45,0.64,10.26,8.52,6.69,
,,El Paso,Mesquite Hills ,11881 DYER ST,EL PASO,Texas,79934,El Paso County,31.9540678,-106.3644402,intersect,15,0.068,0.067,0.02,0.185,0.085,0.59,0.79,10.38,8.22,7.47,
,,El Paso,Mesquite Hills ,11881 DYER ST,EL PASO,Texas,79934,El Paso County,31.9540678,-106.3644402,intersect,10,0.104,0.101,0.028,0.311,0.134,0.59,0.79,10.38,8.22,7.47,
,,El Paso,Mesquite Hills ,11881 DYER ST,EL PASO,Texas,79934,El Paso County,31.9540678,-106.3644402,inside,15,0.103,0.145,0.037,0.339,0.174,0.59,0.79,10.38,8.22,7.47,
,,El Paso,Mesquite Hills ,11881 DYER ST,EL PASO,Texas,79934,El Paso County,31.9540678,-106.3644402,inside,10,0.37,0.536,0.15,1.677,0.695,0.59,0.79,10.38,8.22,7.47,
,,El Paso,Mission Trail,9050 ESCOBAR DR,EL PASO,Texas,79907,El Paso County,31.7137252,-106.310993,intersect,15,0.018,0.015,0.005,0.045,0.021,,,,,,
,,El Paso,Mission Trail,9050 ESCOBAR DR,EL PASO,Texas,79907,El Paso County,31.7137252,-106.310993,intersect,10,0.04,0.034,0.009,0.086,0.042,,,,,,
,,El Paso,Mission Trail,9050 ESCOBAR DR,EL PASO,Texas,79907,El Paso County,31.7137252,-106.310993,inside,15,0.029,0.039,0.009,0.107,0.048,,,,,,
,,El Paso,Mission Trail,9050 ESCOBAR DR,EL PASO,Texas,79907,El Paso County,31.7137252,-106.310993,inside,10,0.092,0.17,0.03,0.414,0.192,,,,,,
,,El Paso,Rio Vista,210 N RIO VISTA RD,EL PASO,Texas,79927,El Paso County,31.6556734,-106.2895418,intersect,15,0.033,0.031,0.007,0.037,0.078,0.49,0.7,10.75,9.6,7,
,,El Paso,Rio Vista,210 N RIO VISTA RD,EL PASO,Texas,79927,El Paso County,31.6556734,-106.2895418,intersect,10,0.079,0.061,0.018,0.075,0.143,0.49,0.7,10.75,9.6,7,
,,El Paso,Rio Vista,210 N RIO VISTA RD,EL PASO,Texas,79927,El Paso County,31.6556734,-106.2895418,inside,15,0.085,0.159,0.035,0.184,0.381,0.49,0.7,10.75,9.6,7,
,,El Paso,Rio Vista,210 N RIO VISTA RD,EL PASO,Texas,79927,El Paso County,31.6556734,-106.2895418,inside,10,0.302,0.374,0.142,0.614,1.758,0.49,0.7,10.75,9.6,7,
,,Greater Houston Area,Aldine,21423 ALDINE WESTFIELD RD,Humble,Texas,77338,Harris County,30.023604,-95.383201,intersect,15,0.021,0.015,0.006,0.06,0.028,,,,,,
,,Greater Houston Area,Aldine,21423 ALDINE WESTFIELD RD,Humble,Texas,77338,Harris County,30.023604,-95.383201,intersect,10,0.048,0.037,0.012,0.161,0.068,,,,,,
,,Greater Houston Area,Aldine,21423 ALDINE WESTFIELD RD,Humble,Texas,77338,Harris County,30.023604,-95.383201,inside,15,0.048,0.05,0.018,0.193,0.083,,,,,,
,,Greater Houston Area,Aldine,21423 ALDINE WESTFIELD RD,Humble,Texas,77338,Harris County,30.023604,-95.383201,inside,10,0.13,0.159,0.047,0.801,0.257,,,,,,
,,Greater Houston Area,Beltway 8,N Sam Houston Pkwy E,Humble,Texas,77396,Harris County,29.9410613,-95.2852186,intersect,15,0.015,0.012,0.004,0.034,0.017,,,,,,
,,Greater Houston Area,Beltway 8,N Sam Houston Pkwy E,Humble,Texas,77396,Harris County,29.9410613,-95.2852186,intersect,10,0.042,0.035,0.012,0.101,0.054,,,,,,
,,Greater Houston Area,Beltway 8,N Sam Houston Pkwy E,Humble,Texas,77396,Harris County,29.9410613,-95.2852186,inside,15,0.035,0.043,0.016,0.105,0.057,,,,,,
,,Greater Houston Area,Beltway 8,N Sam Houston Pkwy E,Humble,Texas,77396,Harris County,29.9410613,-95.2852186,inside,10,0.201,0.385,0.089,0.69,0.405,,,,,,
,,Greater Houston Area,Hardy,1930 Little York RD,Houston,Texas,77093,Harris County,29.86989,-95.35498,intersect,15,0.015,0.013,0.004,0.029,0.015,0.55,0.81,9.79,8.85,5.8,
,,Greater Houston Area,Hardy,1930 Little York RD,Houston,Texas,77093,Harris County,29.86989,-95.35498,intersect,10,0.033,0.028,0.009,0.053,0.029,0.55,0.81,9.79,8.85,5.8,
,,Greater Houston Area,Hardy,1930 Little York RD,Houston,Texas,77093,Harris County,29.86989,-95.35498,inside,15,0.026,0.029,0.01,0.053,0.03,0.55,0.81,9.79,8.85,5.8,
,,Greater Houston Area,Hardy,1930 Little York RD,Houston,Texas,77093,Harris County,29.86989,-95.35498,inside,10,0.095,0.127,0.037,0.223,0.129,0.55,0.81,9.79,8.85,5.8,
,,Greater Houston Area,Lake Houston,5627 S LAKE HOUSTON PARKWAY,Houston,Texas,77049,Harris County,29.81422,-95.21094,intersect,15,0.018,0.017,0.005,0.039,0.02,0.62,0.83,9.56,9.08,5.02,
,,Greater Houston Area,Lake Houston,5627 S LAKE HOUSTON PARKWAY,Houston,Texas,77049,Harris County,29.81422,-95.21094,intersect,10,0.048,0.036,0.011,0.092,0.044,0.62,0.83,9.56,9.08,5.02,
,,Greater Houston Area,Lake Houston,5627 S LAKE HOUSTON PARKWAY,Houston,Texas,77049,Harris County,29.81422,-95.21094,inside,15,0.035,0.043,0.013,0.113,0.052,0.62,0.83,9.56,9.08,5.02,
,,Greater Houston Area,Lake Houston,5627 S LAKE HOUSTON PARKWAY,Houston,Texas,77049,Harris County,29.81422,-95.21094,inside,10,0.219,0.247,0.089,0.653,0.286,0.62,0.83,9.56,9.08,5.02,
,,Greater Houston Area,Spears,2010 SPEARS RD,Houston,Texas,77067,Harris County,29.965529,-95.449173,intersect,15,0.015,0.012,0.004,0.035,0.017,0.36,0.76,10.62,9.88,5.72,
,,Greater Houston Area,Spears,2010 SPEARS RD,Houston,Texas,77067,Harris County,29.965529,-95.449173,intersect,10,0.035,0.028,0.01,0.074,0.035,0.36,0.76,10.62,9.88,5.72,
,,Greater Houston Area,Spears,2010 SPEARS RD,Houston,Texas,77067,Harris County,29.965529,-95.449173,inside,15,0.026,0.027,0.009,0.07,0.033,0.36,0.76,10.62,9.88,5.72,
,,Greater Houston Area,Spears,2010 SPEARS RD,Houston,Texas,77067,Harris County,29.965529,-95.449173,inside,10,0.065,0.093,0.022,0.178,0.089,0.36,0.76,10.62,9.88,5.72,
,,Jacksonville,Bassett,1845 Bassett Rd,Jacksonville,Florida,32208,Duval County,30.4129796,-81.6888649,intersect,15,0.047,0.028,0.012,0.096,0.048,0.48,0.8,11.98,10.95,6.02,
,,Jacksonville,Bassett,1845 Bassett Rd,Jacksonville,Florida,32208,Duval County,30.4129796,-81.6888649,intersect,10,0.071,0.045,0.021,0.15,0.075,0.48,0.8,11.98,10.95,6.02,
,,Jacksonville,Bassett,1845 Bassett Rd,Jacksonville,Florida,32208,Duval County,30.4129796,-81.6888649,inside,15,0.075,0.061,0.027,0.194,0.096,0.48,0.8,11.98,10.95,6.02,
,,Jacksonville,Bassett,1845 Bassett Rd,Jacksonville,Florida,32208,Duval County,30.4129796,-81.6888649,inside,10,0.16,0.152,0.081,0.709,0.332,0.48,0.8,11.98,10.95,6.02,
,,Jacksonville,Compass,4949 Blanding Blvd,Jacksonville,Florida,32210,Duval County,30.25365,-81.74162,intersect,15,0.043,0.026,0.013,0.118,0.057,,,,,,
,,Jacksonville,Compass,4949 Blanding Blvd,Jacksonville,Florida,32210,Duval County,30.25365,-81.74162,intersect,10,0.07,0.042,0.021,0.198,0.089,,,,,,
,,Jacksonville,Compass,4949 Blanding Blvd,Jacksonville,Florida,32210,Duval County,30.25365,-81.74162,inside,15,0.072,0.062,0.027,0.246,0.111,,,,,,
,,Jacksonville,Compass,4949 Blanding Blvd,Jacksonville,Florida,32210,Duval County,30.25365,-81.74162,inside,10,0.155,0.172,0.078,0.629,0.296,,,,,,
,,Jacksonville,Lane,1254 LANE AVE S,Jacksonville,Florida,32205,Duval County,30.3007425,-81.7524646,intersect,15,0.027,0.016,0.008,0.066,0.032,,,,,,
,,Jacksonville,Lane,1254 LANE AVE S,Jacksonville,Florida,32205,Duval County,30.3007425,-81.7524646,intersect,10,0.057,0.035,0.017,0.154,0.075,,,,,,
,,Jacksonville,Lane,1254 LANE AVE S,Jacksonville,Florida,32205,Duval County,30.3007425,-81.7524646,inside,15,0.05,0.047,0.021,0.179,0.085,,,,,,
,,Jacksonville,Lane,1254 LANE AVE S,Jacksonville,Florida,32205,Duval County,30.3007425,-81.7524646,inside,10,0.137,0.116,0.057,0.478,0.223,,,,,,
,,Jacksonville,River Bluff,2354 University Blvd N,Jacksonville,Florida,32211,Duval County,30.3472286,-81.6098839,intersect,15,0.047,0.027,0.013,0.096,0.049,0.4,0.69,11.66,9.35,7.9,
,,Jacksonville,River Bluff,2354 University Blvd N,Jacksonville,Florida,32211,Duval County,30.3472286,-81.6098839,intersect,10,0.111,0.067,0.029,0.266,0.124,0.4,0.69,11.66,9.35,7.9,
,,Jacksonville,River Bluff,2354 University Blvd N,Jacksonville,Florida,32211,Duval County,30.3472286,-81.6098839,inside,15,0.089,0.083,0.035,0.338,0.153,0.4,0.69,11.66,9.35,7.9,
,,Jacksonville,River Bluff,2354 University Blvd N,Jacksonville,Florida,32211,Duval County,30.3472286,-81.6098839,inside,10,0.35,0.549,0.19,1.768,0.715,0.4,0.69,11.66,9.35,7.9,
,,Permian Basin,Bush Center,5800 Briarwood Ave,Midland,Texas,79707,Midland County,32.0243451,-102.1720807,intersect,15,0.051,0.031,0.017,0.256,0.122,,,,,,
,,Permian Basin,Bush Center,5800 Briarwood Ave,Midland,Texas,79707,Midland County,32.0243451,-102.1720807,intersect,10,0.08,0.042,0.025,0.546,0.257,,,,,,
,,Permian Basin,Bush Center,5800 Briarwood Ave,Midland,Texas,79707,Midland County,32.0243451,-102.1720807,inside,15,0.074,0.052,0.029,0.604,0.259,,,,,,
,,Permian Basin,Bush Center,5800 Briarwood Ave,Midland,Texas,79707,Midland County,32.0243451,-102.1720807,inside,10,0.162,0.135,0.083,1.835,0.82,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,intersect,15,0.048,0.03,0.016,0.247,0.119,,,,,,
