SourceYear,SchoolYear,Region,School_Short_Name,addresses,City,State,Zip ,County,Latitude,Longitude,JoinType,DriveTime_min,PercentToFullScale,PercentEntryLevelNeeded_AC,PercentEntryLevelNeeded_CP,PercentPoverty1x,PercentPoverty2x,PercentWin10min,PercentWin15min,Avg DriveTime,Median Drivetime,SD of Drivetime,SurroundingShoolsQuality
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,intersect,10,0.084,0.043,0.021,0.303,0.154,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,inside,15,0.068,0.048,0.025,0.376,0.156,,,,,,
,,Permian Basin,IDEA Fairfield,1400 N Tilden St.,Midland,Texas,79701,Midland County,32.0191279,-102.0633532,inside,10,0.191,0.137,0.071,0.713,0.321,,,,,,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,intersect,15,0.05,0.029,0.016,0.246,0.119,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,intersect,10,0.096,0.046,0.023,0.292,0.154,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,inside,15,0.086,0.062,0.03,0.451,0.181,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Travis,900 E Gist Ave,Midland,Texas,79701,Midland County,31.98069977,-102.0632629,inside,10,0.235,0.172,0.122,0.673,0.312,0.71,0.91,9.12,8.52,5.45,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,intersect,15,0.076,0.04,0.022,0.361,0.166,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,intersect,10,0.187,0.071,0.044,0.627,0.37,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,inside,15,0.13,0.1,0.052,0.489,0.279,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Yukon,7300 E Yukon Rd,Odessa,Texas,79765,Ector County,31.9407915,-102.2993042,inside,10,4.061,,,,,0.36,0.71,12.06,11.82,7.09,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,intersect,15,0.047,0.03,0.014,0.187,0.083,,,,,,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,intersect,10,0.08,0.045,0.021,0.317,0.124,,,,,,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,inside,15,0.076,0.061,0.024,0.308,0.138,,,,,,
,,Permian Basin,Zeneta,3401 W. 5th Street ,Odessa,Texas,79763,Ector County,31.8339134,-102.4054584,inside,10,0.186,0.175,0.066,0.837,0.492,,,,,,
,,Rio Grande Valley,Alamo,325 E FM 495,Alamo,Texas,78516,Hidalgo County,26.200032,-98.101975,intersect,15,0.022,0.018,0.006,0.037,0.022,0.7,0.89,10.81,9.95,5.27,
,,Rio Grande Valley,Alamo,325 E FM 495,Alamo,Texas,78516,Hidalgo County,26.200032,-98.101975,intersect,10,0.043,0.031,0.01,0.062,0.037,0.7,0.89,10.81,9.95,5.27,
,,Rio Grande Valley,Alamo,325 E FM 495,Alamo,Texas,78516,Hidalgo County,26.200032,-98.101975,inside,15,0.037,0.045,0.013,0.084,0.051,0.7,0.89,10.81,9.95,5.27,
,,Rio Grande Valley,Alamo,325 E FM 495,Alamo,Texas,78516,Hidalgo County,26.200032,-98.101975,inside,10,0.12,0.177,0.055,0.411,0.219,0.7,0.89,10.81,9.95,5.27,
,,Rio Grande Valley,Brownsville,4395 Paredes Line Rd,Brownsville,Texas,78526,Cameron County,25.972685,-97.484815,intersect,15,0.04,0.034,0.012,0.084,0.049,0.46,0.77,10.66,10.28,6.43,
,,Rio Grande Valley,Brownsville,4395 Paredes Line Rd,Brownsville,Texas,78526,Cameron County,25.972685,-97.484815,intersect,10,0.078,0.061,0.022,0.191,0.1,0.46,0.77,10.66,10.28,6.43,
,,Rio Grande Valley,Brownsville,4395 Paredes Line Rd,Brownsville,Texas,78526,Cameron County,25.972685,-97.484815,inside,15,0.066,0.066,0.025,0.194,0.107,0.46,0.77,10.66,10.28,6.43,
,,Rio Grande Valley,Brownsville,4395 Paredes Line Rd,Brownsville,Texas,78526,Cameron County,25.972685,-97.484815,inside,10,0.233,0.231,0.082,0.754,0.38,0.46,0.77,10.66,10.28,6.43,
,,Rio Grande Valley,Donna,401 S 1st St,Donna,Texas,78537,Hidalgo County,26.167798,-98.064036,intersect,15,0.035,0.031,0.009,0.06,0.035,0.55,0.8,12.68,11.58,6.28,
,,Rio Grande Valley,Donna,401 S 1st St,Donna,Texas,78537,Hidalgo County,26.167798,-98.064036,intersect,10,0.071,0.054,0.018,0.105,0.063,0.55,0.8,12.68,11.58,6.28,
,,Rio Grande Valley,Donna,401 S 1st St,Donna,Texas,78537,Hidalgo County,26.167798,-98.064036,inside,15,0.076,0.117,0.033,0.253,0.141,0.55,0.8,12.68,11.58,6.28,
,,Rio Grande Valley,Donna,401 S 1st St,Donna,Texas,78537,Hidalgo County,26.167798,-98.064036,inside,10,0.267,0.383,0.101,0.646,0.438,0.55,0.8,12.68,11.58,6.28,
,,Rio Grande Valley,Edinburg,2553 N Roegiers Rd,Edinburg,Texas,78541,Hidalgo County,26.328347,-98.149875,intersect,15,0.027,0.02,0.007,0.046,0.027,0.48,0.82,12.95,11.95,5.48,
,,Rio Grande Valley,Edinburg,2553 N Roegiers Rd,Edinburg,Texas,78541,Hidalgo County,26.328347,-98.149875,intersect,10,0.053,0.033,0.012,0.08,0.047,0.48,0.82,12.95,11.95,5.48,
,,Rio Grande Valley,Edinburg,2553 N Roegiers Rd,Edinburg,Texas,78541,Hidalgo County,26.328347,-98.149875,inside,15,0.047,0.058,0.019,0.148,0.084,0.48,0.82,12.95,11.95,5.48,
,,Rio Grande Valley,Edinburg,2553 N Roegiers Rd,Edinburg,Texas,78541,Hidalgo County,26.328347,-98.149875,inside,10,0.161,0.188,0.078,0.603,0.296,0.48,0.82,12.95,11.95,5.48,
,,Rio Grande Valley,Elsa,411 S Fannin,Elsa,Texas,78543,Hidalgo County,26.287332,-97.988256,intersect,15,0.039,0.025,0.011,0.059,0.035,0.38,0.74,11.29,10.18,6.39,
,,Rio Grande Valley,Elsa,411 S Fannin,Elsa,Texas,78543,Hidalgo County,26.287332,-97.988256,intersect,10,0.083,0.044,0.019,0.104,0.061,0.38,0.74,11.29,10.18,6.39,
,,Rio Grande Valley,Elsa,411 S Fannin,Elsa,Texas,78543,Hidalgo County,26.287332,-97.988256,inside,15,0.096,0.101,0.048,0.246,0.135,0.38,0.74,11.29,10.18,6.39,
,,Rio Grande Valley,Elsa,411 S Fannin,Elsa,Texas,78543,Hidalgo County,26.287332,-97.988256,inside,10,0.413,0.325,0.237,1.083,0.433,0.38,0.74,11.29,10.18,6.39,
,,Rio Grande Valley,Frontier,2800 S Dakota Ave,Brownsville,Texas,78521,Cameron County,25.885274,-97.423962,intersect,15,0.069,0.056,0.02,0.107,0.065,0.57,0.73,10.01,7.97,7.3,
,,Rio Grande Valley,Frontier,2800 S Dakota Ave,Brownsville,Texas,78521,Cameron County,25.885274,-97.423962,intersect,10,0.118,0.094,0.034,0.178,0.106,0.57,0.73,10.01,7.97,7.3,
,,Rio Grande Valley,Frontier,2800 S Dakota Ave,Brownsville,Texas,78521,Cameron County,25.885274,-97.423962,inside,15,0.102,0.107,0.034,0.187,0.112,0.57,0.73,10.01,7.97,7.3,
,,Rio Grande Valley,Frontier,2800 S Dakota Ave,Brownsville,Texas,78521,Cameron County,25.885274,-97.423962,inside,10,0.262,0.387,0.102,0.72,0.406,0.57,0.73,10.01,7.97,7.3,
,,Rio Grande Valley,Harlingen,24240 Chester Park Rd,Harlingen,Texas,78552,Cameron County,26.202923,-97.733386,intersect,15,0.045,0.033,0.013,0.089,0.05,0.54,0.81,11.76,10.45,7.15,
,,Rio Grande Valley,Harlingen,24240 Chester Park Rd,Harlingen,Texas,78552,Cameron County,26.202923,-97.733386,intersect,10,0.066,0.045,0.018,0.12,0.073,0.54,0.81,11.76,10.45,7.15,
,,Rio Grande Valley,Harlingen,24240 Chester Park Rd,Harlingen,Texas,78552,Cameron County,26.202923,-97.733386,inside,15,0.066,0.06,0.023,0.14,0.088,0.54,0.81,11.76,10.45,7.15,
,,Rio Grande Valley,Harlingen,24240 Chester Park Rd,Harlingen,Texas,78552,Cameron County,26.202923,-97.733386,inside,10,0.15,0.145,0.053,0.395,0.237,0.54,0.81,11.76,10.45,7.15,
,,Rio Grande Valley,La Joya,725 E. Expressway 83,La Joya,Texas,78560,Hidalgo Coutny,26.246084,-98.468018,intersect,15,0.06,0.05,0.014,0.088,0.054,0.31,0.85,13.07,13.25,6.56,
,,Rio Grande Valley,La Joya,725 E. Expressway 83,La Joya,Texas,78560,Hidalgo Coutny,26.246084,-98.468018,intersect,10,0.163,0.137,0.038,0.226,0.147,0.31,0.85,13.07,13.25,6.56,
,,Rio Grande Valley,La Joya,725 E. Expressway 83,La Joya,Texas,78560,Hidalgo Coutny,26.246084,-98.468018,inside,15,0.176,0.201,0.072,0.36,0.233,0.31,0.85,13.07,13.25,6.56,
,,Rio Grande Valley,La Joya,725 E. Expressway 83,La Joya,Texas,78560,Hidalgo Coutny,26.246084,-98.468018,inside,10,1.373,1.091,0.734,2.296,1.379,0.31,0.85,13.07,13.25,6.56,
,,Rio Grande Valley,Los Encinos,5400 S Ware Rd,McAllen,Texas,78503,Hidalgo Coutny,26.255312,-98.252916,intersect,15,0.024,0.02,0.006,0.045,0.025,0.44,0.74,12.95,12.57,8.43,
,,Rio Grande Valley,Los Encinos,5400 S Ware Rd,McAllen,Texas,78503,Hidalgo Coutny,26.255312,-98.252916,intersect,10,0.07,0.057,0.017,0.13,0.069,0.44,0.74,12.95,12.57,8.43,
,,Rio Grande Valley,Los Encinos,5400 S Ware Rd,McAllen,Texas,78503,Hidalgo Coutny,26.255312,-98.252916,inside,15,0.045,0.064,0.016,0.134,0.07,0.44,0.74,12.95,12.57,8.43,
,,Rio Grande Valley,Los Encinos,5400 S Ware Rd,McAllen,Texas,78503,Hidalgo Coutny,26.255312,-98.252916,inside,10,0.153,0.24,0.072,0.475,0.269,0.44,0.74,12.95,12.57,8.43,
,,Rio Grande Valley,McAllen,201 N Bentsen Rd,McAllen,Texas,78501,Hidalgo Coutny,26.210497,-98.271356,intersect,15,0.019,0.017,0.005,0.04,0.022,0.63,0.84,12.64,11.32,7.05,
,,Rio Grande Valley,McAllen,201 N Bentsen Rd,McAllen,Texas,78501,Hidalgo Coutny,26.210497,-98.271356,intersect,10,0.037,0.033,0.009,0.077,0.041,0.63,0.84,12.64,11.32,7.05,
,,Rio Grande Valley,McAllen,201 N Bentsen Rd,McAllen,Texas,78501,Hidalgo Coutny,26.210497,-98.271356,inside,15,0.031,0.035,0.01,0.084,0.045,0.63,0.84,12.64,11.32,7.05,
,,Rio Grande Valley,McAllen,201 N Bentsen Rd,McAllen,Texas,78501,Hidalgo Coutny,26.210497,-98.271356,inside,10,0.068,0.101,0.026,0.223,0.11,0.63,0.84,12.64,11.32,7.05,
,,Rio Grande Valley,Mission,1600 S Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.196574,-98.366027,intersect,15,0.038,0.033,0.01,0.074,0.041,0.54,0.79,13.33,11.68,8.43,
,,Rio Grande Valley,Mission,1600 S Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.196574,-98.366027,intersect,10,0.08,0.056,0.016,0.134,0.072,0.54,0.79,13.33,11.68,8.43,
,,Rio Grande Valley,Mission,1600 S Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.196574,-98.366027,inside,15,0.074,0.087,0.023,0.211,0.111,0.54,0.79,13.33,11.68,8.43,
,,Rio Grande Valley,Mission,1600 S Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.196574,-98.366027,inside,10,0.328,0.435,0.104,0.729,0.484,0.54,0.79,13.33,11.68,8.43,
,,Rio Grande Valley,North Mission,2706 N. Holland Ave.,Mission,Texas,78572,Hidalgo Coutny,26.233836,-98.330696,intersect,15,0.028,0.026,0.008,0.059,0.033,0.58,0.85,12.23,10.6,7.49,
,,Rio Grande Valley,North Mission,2706 N. Holland Ave.,Mission,Texas,78572,Hidalgo Coutny,26.233836,-98.330696,intersect,10,0.06,0.049,0.014,0.111,0.061,0.58,0.85,12.23,10.6,7.49,
,,Rio Grande Valley,North Mission,2706 N. Holland Ave.,Mission,Texas,78572,Hidalgo Coutny,26.233836,-98.330696,inside,15,0.05,0.058,0.017,0.135,0.075,0.58,0.85,12.23,10.6,7.49,
,,Rio Grande Valley,North Mission,2706 N. Holland Ave.,Mission,Texas,78572,Hidalgo Coutny,26.233836,-98.330696,inside,10,0.128,0.13,0.052,0.343,0.219,0.58,0.85,12.23,10.6,7.49,
,,Rio Grande Valley,Owassa,1000 E Owassa Rd,Pharr,Texas,78577,Hidalgo Coutny,26.245597,-98.163681,intersect,15,0.019,0.016,0.005,0.035,0.021,0.54,0.79,10.88,9.88,6.76,
,,Rio Grande Valley,Owassa,1000 E Owassa Rd,Pharr,Texas,78577,Hidalgo Coutny,26.245597,-98.163681,intersect,10,0.045,0.035,0.011,0.073,0.045,0.54,0.79,10.88,9.88,6.76,
,,Rio Grande Valley,Owassa,1000 E Owassa Rd,Pharr,Texas,78577,Hidalgo Coutny,26.245597,-98.163681,inside,15,0.035,0.039,0.013,0.091,0.055,0.54,0.79,10.88,9.88,6.76,
,,Rio Grande Valley,Owassa,1000 E Owassa Rd,Pharr,Texas,78577,Hidalgo Coutny,26.245597,-98.163681,inside,10,0.099,0.395,0.071,0.668,0.334,0.54,0.79,10.88,9.88,6.76,
,,Rio Grande Valley,Palmview,4100 N Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.260391,-98.352897,intersect,15,0.027,0.025,0.007,0.049,0.029,0.55,0.89,10.23,9.48,5.95,
,,Rio Grande Valley,Palmview,4100 N Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.260391,-98.352897,intersect,10,0.057,0.044,0.014,0.092,0.055,0.55,0.89,10.23,9.48,5.95,
,,Rio Grande Valley,Palmview,4100 N Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.260391,-98.352897,inside,15,0.053,0.054,0.018,0.113,0.07,0.55,0.89,10.23,9.48,5.95,
,,Rio Grande Valley,Palmview,4100 N Schuerbach Rd,Mission,Texas,78572,Hidalgo Coutny,26.260391,-98.352897,inside,10,0.127,0.164,0.055,0.4,0.232,0.55,0.89,10.23,9.48,5.95,
,,Rio Grande Valley,Pharr,600 E Las Milpas Rd,Pharr,Texas,78577,Hidalgo Coutny,26.113395,-98.192445,intersect,15,0.057,0.049,0.016,0.103,0.063,0.55,0.73,13.86,10.24,9.17,
,,Rio Grande Valley,Pharr,600 E Las Milpas Rd,Pharr,Texas,78577,Hidalgo Coutny,26.113395,-98.192445,intersect,10,0.117,0.099,0.026,0.229,0.126,0.55,0.73,13.86,10.24,9.17,
,,Rio Grande Valley,Pharr,600 E Las Milpas Rd,Pharr,Texas,78577,Hidalgo Coutny,26.113395,-98.192445,inside,15,0.097,0.129,0.042,0.343,0.187,0.55,0.73,13.86,10.24,9.17,
,,Rio Grande Valley,Pharr,600 E Las Milpas Rd,Pharr,Texas,78577,Hidalgo Coutny,26.113395,-98.192445,inside,10,0.288,0.391,0.173,1.385,0.543,0.55,0.73,13.86,10.24,9.17,
,,Rio Grande Valley,Quest,14001 N Rooth Rd,Edinburg,Texas,78541,Hidalgo Coutny,26.332448,-98.231428,intersect,15,0.033,0.029,0.009,0.068,0.037,0.38,0.71,14.26,13.15,7.64,
,,Rio Grande Valley,Quest,14001 N Rooth Rd,Edinburg,Texas,78541,Hidalgo Coutny,26.332448,-98.231428,intersect,10,0.066,0.056,0.016,0.152,0.076,0.38,0.71,14.26,13.15,7.64,
,,Rio Grande Valley,Quest,14001 N Rooth Rd,Edinburg,Texas,78541,Hidalgo Coutny,26.332448,-98.231428,inside,15,0.065,0.076,0.023,0.253,0.118,0.38,0.71,14.26,13.15,7.64,
,,Rio Grande Valley,Quest,14001 N Rooth Rd,Edinburg,Texas,78541,Hidalgo Coutny,26.332448,-98.231428,inside,10,0.206,0.256,0.084,1.033,0.457,0.38,0.71,14.26,13.15,7.64,
,,Rio Grande Valley,Rio Grande City,2803 W MONARCH LN,Rio Grande City,Texas,78582,Starr County,26.499887,-98.752428,intersect,15,0.198,0.15,0.061,0.313,0.185,0.37,0.51,15.58,14.1,11.1,
,,Rio Grande Valley,Rio Grande City,2803 W MONARCH LN,Rio Grande City,Texas,78582,Starr County,26.499887,-98.752428,intersect,10,0.311,0.208,0.082,0.45,0.277,0.37,0.51,15.58,14.1,11.1,
,,Rio Grande Valley,Rio Grande City,2803 W MONARCH LN,Rio Grande City,Texas,78582,Starr County,26.499887,-98.752428,inside,15,0.732,0.779,0.795,3.101,1.502,0.37,0.51,15.58,14.1,11.1,
,,Rio Grande Valley,Rio Grande City,2803 W MONARCH LN,Rio Grande City,Texas,78582,Starr County,26.499887,-98.752428,inside,10,1.105,0.779,0.795,3.101,1.502,0.37,0.51,15.58,14.1,11.1,
,,Rio Grande Valley,Riverview,30 PALM BLVD,Brownsville,Texas,78520,Cameron County,25.906191,-97.510039,intersect,15,0.059,0.049,0.016,0.115,0.066,0.24,0.63,14.76,14.82,7.04,
,,Rio Grande Valley,Riverview,30 PALM BLVD,Brownsville,Texas,78520,Cameron County,25.906191,-97.510039,intersect,10,0.172,0.132,0.045,0.237,0.152,0.24,0.63,14.76,14.82,7.04,
,,Rio Grande Valley,Riverview,30 PALM BLVD,Brownsville,Texas,78520,Cameron County,25.906191,-97.510039,inside,15,0.138,0.16,0.059,0.276,0.191,0.24,0.63,14.76,14.82,7.04,
,,Rio Grande Valley,Riverview,30 PALM BLVD,Brownsville,Texas,78520,Cameron County,25.906191,-97.510039,inside,10,0.482,0.872,0.215,1.237,0.851,0.24,0.63,14.76,14.82,7.04,
,,Rio Grande Valley,Robindale,3802 E Ruben Torress Sr Blv,Brownsville,Texas,78521,Cameron County,25.94816,-97.455657,intersect,15,0.034,0.03,0.01,0.069,0.04,0.6,0.85,10.55,9.12,7.03,
,,Rio Grande Valley,Robindale,3802 E Ruben Torress Sr Blv,Brownsville,Texas,78521,Cameron County,25.94816,-97.455657,intersect,10,0.06,0.043,0.016,0.105,0.06,0.6,0.85,10.55,9.12,7.03,
,,Rio Grande Valley,Robindale,3802 E Ruben Torress Sr Blv,Brownsville,Texas,78521,Cameron County,25.94816,-97.455657,inside,15,0.05,0.053,0.018,0.116,0.07,0.6,0.85,10.55,9.12,7.03,
,,Rio Grande Valley,Robindale,3802 E Ruben Torress Sr Blv,Brownsville,Texas,78521,Cameron County,25.94816,-97.455657,inside,10,0.097,0.117,0.047,0.291,0.165,0.6,0.85,10.55,9.12,7.03,
,,Rio Grande Valley,San Benito,2151 Russell Lane,San Benito,Texas,78586,Cameron County,26.159511,-97.642758,intersect,15,0.042,0.033,0.013,0.086,0.05,0.41,0.69,13.19,12.27,6.08,
,,Rio Grande Valley,San Benito,2151 Russell Lane,San Benito,Texas,78586,Cameron County,26.159511,-97.642758,intersect,10,0.085,0.045,0.018,0.148,0.085,0.41,0.69,13.19,12.27,6.08,
,,Rio Grande Valley,San Benito,2151 Russell Lane,San Benito,Texas,78586,Cameron County,26.159511,-97.642758,inside,15,0.073,0.062,0.027,0.145,0.092,0.41,0.69,13.19,12.27,6.08,
,,Rio Grande Valley,San Benito,2151 Russell Lane,San Benito,Texas,78586,Cameron County,26.159511,-97.642758,inside,10,0.227,0.209,0.09,0.501,0.319,0.41,0.69,13.19,12.27,6.08,
,,Rio Grande Valley,San Juan,600 E Sioux Rd,San Juan,Texas,78589,Hidalgo County,26.214546,-98.141962,inside,15,0.011,,0.006,0.019,0.012,0.7,0.92,11.37,10.8,6.18,
,,Rio Grande Valley,San Juan,600 E Sioux Rd,San Juan,Texas,78589,Hidalgo County,26.214546,-98.141962,inside,15,0.022,,0.011,0.035,0.022,0.7,0.92,11.37,10.8,6.18,
,,Rio Grande Valley,San Juan,600 E Sioux Rd,San Juan,Texas,78589,Hidalgo County,26.214546,-98.141962,inside,10,0.018,,0.015,0.049,0.03,0.7,0.92,11.37,10.8,6.18,
,,Rio Grande Valley,San Juan,600 E Sioux Rd,San Juan,Texas,78589,Hidalgo County,26.214546,-98.141962,inside,10,0.05,,0.049,0.151,0.09,0.7,0.92,11.37,10.8,6.18,
,,Rio Grande Valley,Sports Park,6650 Old Alice Rd.,Brownsville,Texas,78526,Cameron County,25.929738,-97.498481,intersect,15,0.037,0.031,0.01,0.075,0.042,0.15,0.8,14.52,13.73,7.16,
,,Rio Grande Valley,Sports Park,6650 Old Alice Rd.,Brownsville,Texas,78526,Cameron County,25.929738,-97.498481,intersect,10,0.1,0.077,0.024,0.232,0.113,0.15,0.8,14.52,13.73,7.16,
,,Rio Grande Valley,Sports Park,6650 Old Alice Rd.,Brownsville,Texas,78526,Cameron County,25.929738,-97.498481,inside,15,0.098,0.114,0.039,0.34,0.185,0.15,0.8,14.52,13.73,7.16,
,,Rio Grande Valley,Sports Park,6650 Old Alice Rd.,Brownsville,Texas,78526,Cameron County,25.929738,-97.498481,inside,10,1.339,0,0,0,0,0.15,0.8,14.52,13.73,7.16,
,,Rio Grande Valley,Toros,3300 E Texas Rd,Edinburg,Texas,78542,Hidalgo County,26.284493,-98.12409,intersect,15,0.027,0,0.019,0.009,0.005,0.22,0.39,19.29,18.42,10.41,
,,Rio Grande Valley,Toros,3300 E Texas Rd,Edinburg,Texas,78542,Hidalgo County,26.284493,-98.12409,intersect,10,0.053,0,0.037,0.019,0.011,0.22,0.39,19.29,18.42,10.41,
,,Rio Grande Valley,Toros,3300 E Texas Rd,Edinburg,Texas,78542,Hidalgo County,26.284493,-98.12409,inside,15,0.047,0,0.066,0.037,0.02,0.22,0.39,19.29,18.42,10.41,
,,Rio Grande Valley,Toros,3300 E Texas Rd,Edinburg,Texas,78542,Hidalgo County,26.284493,-98.12409,inside,10,0.161,0,0.372,0.199,0.113,0.22,0.39,19.29,18.42,10.41,
,,Rio Grande Valley,Tres Lagos,5200 Tres Lagos Boulevard,Mcallen,Texas,78504,Hidalgo County,26.343607,-98.256435,intersect,15,0.038,0.034,0.009,0.072,0.041,0.33,0.71,14.43,12.73,7.91,
,,Rio Grande Valley,Tres Lagos,5200 Tres Lagos Boulevard,Mcallen,Texas,78504,Hidalgo County,26.343607,-98.256435,intersect,10,0.082,0.074,0.02,0.17,0.09,0.33,0.71,14.43,12.73,7.91,
,,Rio Grande Valley,Tres Lagos,5200 Tres Lagos Boulevard,Mcallen,Texas,78504,Hidalgo County,26.343607,-98.256435,inside,15,0.072,0.083,0.026,0.287,0.13,0.33,0.71,14.43,12.73,7.91,
,,Rio Grande Valley,Tres Lagos,5200 Tres Lagos Boulevard,Mcallen,Texas,78504,Hidalgo County,26.343607,-98.256435,inside,10,0.454,0.763,0.169,2.645,1.119,0.33,0.71,14.43,12.73,7.91,
,,Rio Grande Valley,Weslaco,2931 E. Sugar Cane Dr,Weslaco,Texas,78599,Hidalgo County,26.184735,-97.98396,intersect,15,0.04,0.026,0.011,0.067,0.038,0.48,0.85,12.11,11.88,6.68,
,,Rio Grande Valley,Weslaco,2931 E. Sugar Cane Dr,Weslaco,Texas,78599,Hidalgo County,26.184735,-97.98396,intersect,10,0.082,0.049,0.02,0.125,0.07,0.48,0.85,12.11,11.88,6.68,
,,Rio Grande Valley,Weslaco,2931 E. Sugar Cane Dr,Weslaco,Texas,78599,Hidalgo County,26.184735,-97.98396,inside,15,0.072,0.08,0.029,0.186,0.11,0.48,0.85,12.11,11.88,6.68,
,,Rio Grande Valley,Weslaco,2931 E. Sugar Cane Dr,Weslaco,Texas,78599,Hidalgo County,26.184735,-97.98396,inside,10,0.285,0.229,0.096,0.551,0.333,0.48,0.85,12.11,11.88,6.68,
,,Rio Grande Valley,Weslaco Pike,1000 E. Pike Blvd.,Weslaco,Texas,78596,Hidalgo County,26.169897,-97.980931,intersect,15,0.035,0.023,0.009,0.06,0.034,0.59,0.9,12.19,11.45,4.99,
,,Rio Grande Valley,Weslaco Pike,1000 E. Pike Blvd.,Weslaco,Texas,78596,Hidalgo County,26.169897,-97.980931,intersect,10,0.054,0.033,0.013,0.094,0.05,0.59,0.9,12.19,11.45,4.99,
